Date,Teams_Result,JerseyNo,Player,Position,Goals,Penalties,YellowCards,RedCards,IsSubstitute,Temperature,Humidity,Precipitation,WindSpeed,Pressure,Position_Encoded,Match_Result,Match_Result_Encoded,Player_Avg_Goals,Substitute_Goals_Interaction,Weather_Condition
2022-05-22,Manchester City 3:2 Aston Villa,31,Ederson,Goalkeeper,0,0,0,0,0,0.6839506172839503,0.41222570532915354,0.14102564102564102,0.010275900900900914,1.0,3,Win,2,0.0,0,0.37228777829194304
2021-08-28,Manchester City 5:0 Arsenal,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,1,Win,2,0.0,0,1.0
2021-08-28,Manchester City 5:0 Arsenal,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,1,Win,2,0.0,0,1.0
2021-09-11,Leicester City 0:1 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,1,Win,2,0.0,0,0.5991439148542343
2021-09-25,Chelsea 0:1 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,1,Win,2,0.0,0,0.5991439148542343
2021-10-16,Manchester City 2:0 Burnley,25,Fernandinho,Defender/Midfielder,1,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,1,Win,2,0.0,0,0.21945001456801547
2021-10-23,Brighton and Hove Albion 1:4 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,1,Win,2,0.2,0,0.21945001456801547
2021-10-23,Brighton and Hove Albion 1:4 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,1,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,1,Win,2,0.16666666666666666,0,0.21945001456801547
2021-11-28,Manchester City 2:1 West Ham United,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.01975308641975293,0.09717868338558,0.7179487179487181,1.0000000000000002,0.0,1,Win,2,0.14285714285714285,0,0.02776492364645998
2021-12-01,Aston Villa 1:2 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,1,Win,2,0.125,0,0.006427065658902789
